Time  1 - default sample rate [s]	Bladder [bar]	Shell_0_L [µm/m]	Shell_0_Z [µm/m]	Shell_1_L [µm/m]	Shell_1_Z [µm/m]	Shell_2_L [µm/m]	Shell_2_Z [µm/m]	Shell_3_L [µm/m]	Shell_3_Z [µm/m]	Shell_4_Z [µm/m]	Shell_5_L [µm/m]	Shell_5_Z [µm/m]	Coil_1_Th2_up [µm/m]	Coil_1_Th3_up [µm/m]	Rod_1_TC [µm/m]	Rod_2_TC [µm/m]
2130.5	-0.4951	-525.93	1037.9	-475.28	1154.2	-268.37	-410.09	-403.80	969.90	1160.6	-175.48	-7.865	48.55	-185.39	-12.91	30.60	
2130.6	-0.4945	-525.99	1037.8	-475.32	1154.2	-268.41	-410.11	-403.80	969.85	1160.6	-175.45	-7.853	48.56	-185.32	-12.91	30.59	
2130.7	-0.4953	-525.99	1037.8	-475.35	1154.3	-268.43	-410.10	-403.80	969.86	1160.6	-175.44	-7.830	48.58	-185.30	-12.90	30.59	
2130.8	-0.4951	-525.98	1037.8	-475.33	1154.3	-268.38	-410.07	-403.76	969.93	1160.7	-175.51	-7.891	48.56	-185.35	-12.91	30.61	
2130.9	-0.4956	-525.96	1037.8	-475.30	1154.2	-268.40	-410.09	-403.69	970.01	1160.7	-175.56	-8.000	48.52	-185.44	-12.90	30.60	
2131.0	-0.4948	-525.94	1037.8	-475.31	1154.1	-268.45	-410.11	-403.70	970.04	1160.6	-175.48	-8.083	48.47	-185.49	-12.87	30.59	
2131.1	-0.4935	-525.94	1037.8	-475.36	1154.1	-268.45	-410.12	-403.72	970.03	1160.6	-175.40	-8.077	48.47	-185.50	-12.86	30.59	
2131.2	-0.4951	-525.90	1037.8	-475.35	1154.1	-268.43	-410.10	-403.69	970.03	1160.7	-175.39	-8.087	48.52	-185.47	-12.87	30.60	
2131.3	-0.4956	-525.81	1037.8	-475.25	1154.2	-268.35	-410.14	-403.64	970.03	1160.8	-175.42	-8.063	48.56	-185.40	-12.88	30.59	
2131.4	-0.4964	-525.79	1037.8	-475.17	1154.2	-268.27	-410.16	-403.65	970.06	1160.7	-175.49	-7.992	48.56	-185.42	-12.89	30.56	
2131.5	-0.4953	-525.79	1037.9	-475.19	1154.2	-268.24	-410.13	-403.66	970.03	1160.7	-175.52	-7.958	48.55	-185.44	-12.90	30.54	
2131.6	-0.4945	-525.83	1037.9	-475.27	1154.2	-268.28	-410.13	-403.65	969.95	1160.8	-175.47	-7.936	48.55	-185.39	-12.90	30.54	
2131.7	-0.4951	-525.91	1037.9	-475.35	1154.1	-268.26	-410.11	-403.60	969.94	1160.8	-175.42	-7.938	48.59	-185.30	-12.91	30.57	
2131.8	-0.4932	-525.95	1038.0	-475.29	1154.2	-268.24	-410.04	-403.61	970.02	1160.8	-175.39	-7.980	48.60	-185.27	-12.93	30.59	
2131.9	-0.4914	-525.91	1038.0	-475.22	1154.3	-268.22	-410.05	-403.59	970.07	1160.8	-175.36	-7.976	48.57	-185.27	-12.93	30.61	
2132.0	-0.4927	-525.83	1038.1	-475.27	1154.4	-268.24	-410.13	-403.57	970.10	1160.9	-175.36	-7.982	48.55	-185.28	-12.91	30.61	
2132.1	-0.4932	-525.83	1038.1	-475.32	1154.3	-268.31	-410.16	-403.63	970.08	1160.9	-175.44	-8.025	48.55	-185.31	-12.92	30.59	
2132.2	-0.4948	-525.91	1038.0	-475.33	1154.3	-268.36	-410.14	-403.63	970.06	1160.8	-175.48	-8.037	48.57	-185.32	-12.93	30.57	
2132.3	-0.4961	-525.94	1037.9	-475.29	1154.3	-268.35	-410.11	-403.65	970.07	1160.8	-175.46	-8.047	48.59	-185.32	-12.93	30.57	
2132.4	-0.4966	-525.91	1037.9	-475.25	1154.3	-268.32	-410.06	-403.65	970.06	1160.9	-175.38	-8.037	48.59	-185.31	-12.93	30.58	
2132.5	-0.4974	-525.87	1037.9	-475.26	1154.3	-268.32	-410.05	-403.63	970.00	1160.9	-175.37	-7.976	48.60	-185.30	-12.91	30.60	
2132.6	-0.4990	-525.89	1037.9	-475.26	1154.3	-268.35	-410.12	-403.62	969.96	1160.8	-175.43	-7.881	48.59	-185.31	-12.87	30.61	
2132.7	-0.4977	-525.95	1037.9	-475.25	1154.2	-268.37	-410.14	-403.64	969.94	1160.8	-175.43	-7.873	48.56	-185.32	-12.86	30.62	
2132.8	-0.4987	-526.00	1037.9	-475.24	1154.2	-268.36	-410.14	-403.63	969.95	1160.7	-175.37	-7.889	48.57	-185.34	-12.88	30.61	
2132.9	-0.4992	-525.98	1037.9	-475.26	1154.2	-268.37	-410.16	-403.63	969.95	1160.8	-175.35	-7.903	48.57	-185.33	-12.90	30.57	
2133.0	-0.4992	-525.88	1037.8	-475.31	1154.2	-268.38	-410.17	-403.67	969.97	1160.8	-175.38	-7.929	48.54	-185.31	-12.89	30.56	
2133.1	-0.4990	-525.80	1037.8	-475.33	1154.2	-268.36	-410.14	-403.70	970.02	1160.8	-175.39	-7.934	48.53	-185.31	-12.88	30.57	
2133.2	-0.4964	-525.79	1037.8	-475.31	1154.3	-268.34	-410.09	-403.67	970.05	1160.7	-175.38	-7.885	48.56	-185.37	-12.87	30.59	
2133.3	-0.4956	-525.84	1037.8	-475.28	1154.3	-268.33	-410.12	-403.61	970.02	1160.7	-175.42	-7.877	48.58	-185.42	-12.88	30.60	
2133.4	-0.4969	-525.87	1037.9	-475.29	1154.2	-268.30	-410.11	-403.61	969.97	1160.8	-175.45	-7.932	48.58	-185.42	-12.87	30.59	
2133.5	-0.4966	-525.89	1037.9	-475.28	1154.1	-268.32	-410.05	-403.62	969.92	1160.8	-175.46	-7.946	48.56	-185.41	-12.86	30.58	
2133.6	-0.4974	-525.90	1037.9	-475.27	1154.1	-268.36	-410.02	-403.65	969.90	1160.7	-175.45	-7.980	48.58	-185.39	-12.87	30.59	
2133.7	-0.4987	-525.88	1037.8	-475.26	1154.1	-268.40	-410.01	-403.68	969.96	1160.7	-175.43	-8.045	48.56	-185.39	-12.87	30.60	
2133.8	-0.4982	-525.89	1037.8	-475.21	1154.1	-268.44	-410.03	-403.72	970.04	1160.6	-175.38	-8.073	48.54	-185.41	-12.88	30.58	
2133.9	-0.4987	-525.90	1037.7	-475.15	1154.2	-268.42	-410.04	-403.73	970.03	1160.7	-175.37	-8.047	48.53	-185.42	-12.88	30.58	
2134.0	-0.4997	-525.96	1037.8	-475.14	1154.2	-268.38	-410.02	-403.72	970.01	1160.8	-175.37	-7.948	48.54	-185.43	-12.88	30.58	
2134.1	-0.5003	-525.95	1037.9	-475.17	1154.2	-268.35	-409.97	-403.72	970.08	1160.8	-175.36	-7.909	48.57	-185.40	-12.89	30.58	
2134.2	-0.4997	-525.85	1037.9	-475.18	1154.2	-268.31	-409.98	-403.73	970.11	1160.8	-175.38	-7.962	48.54	-185.38	-12.90	30.57	
2134.3	-0.4964	-525.83	1037.9	-475.19	1154.2	-268.29	-409.99	-403.74	970.06	1160.7	-175.44	-8.019	48.50	-185.40	-12.90	30.56	
2134.4	-0.4969	-525.86	1037.9	-475.22	1154.2	-268.29	-409.98	-403.69	969.98	1160.7	-175.47	-7.974	48.51	-185.38	-12.88	30.55	
2134.5	-0.4979	-525.91	1037.9	-475.29	1154.1	-268.32	-410.01	-403.65	969.89	1160.7	-175.45	-7.913	48.55	-185.37	-12.86	30.55	
2134.6	-0.4984	-525.95	1037.9	-475.29	1154.1	-268.32	-410.05	-403.66	969.90	1160.7	-175.40	-7.848	48.60	-185.31	-12.87	30.57	
2134.7	-0.4979	-525.99	1037.8	-475.25	1154.1	-268.28	-410.08	-403.63	969.95	1160.7	-175.38	-7.836	48.62	-185.24	-12.89	30.58	
2134.8	-0.4979	-526.01	1037.8	-475.25	1154.1	-268.24	-410.12	-403.60	969.94	1160.7	-175.39	-7.887	48.62	-185.18	-12.90	30.62	
2134.9	-0.4977	-525.99	1037.7	-475.26	1154.2	-268.31	-410.11	-403.66	969.96	1160.7	-175.43	-7.970	48.62	-185.14	-12.91	30.62	
2135.0	-0.4982	-525.97	1037.8	-475.24	1154.2	-268.37	-410.06	-403.71	970.00	1160.7	-175.45	-8.021	48.64	-185.17	-12.91	30.62	
2135.1	-0.4982	-525.91	1037.8	-475.23	1154.2	-268.38	-410.03	-403.72	969.99	1160.7	-175.44	-8.021	48.66	-185.21	-12.90	30.61	
2135.2	-0.4982	-525.83	1037.8	-475.24	1154.1	-268.36	-410.06	-403.67	969.94	1160.7	-175.44	-7.986	48.67	-185.28	-12.89	30.60	
2135.3	-0.4977	-525.85	1037.7	-475.29	1154.2	-268.29	-410.10	-403.64	969.92	1160.7	-175.44	-8.017	48.66	-185.34	-12.88	30.58	
2135.4	-0.4974	-525.94	1037.8	-475.29	1154.2	-268.19	-410.10	-403.65	969.96	1160.7	-175.37	-8.051	48.66	-185.34	-12.89	30.57	
2135.5	-0.4990	-526.00	1037.8	-475.28	1154.2	-268.16	-410.06	-403.65	969.98	1160.7	-175.39	-7.988	48.64	-185.35	-12.89	30.56	
2135.6	-0.4979	-526.00	1037.8	-475.26	1154.2	-268.21	-410.01	-403.67	970.00	1160.7	-175.41	-7.891	48.63	-185.37	-12.88	30.55	
2135.7	-0.4979	-525.97	1037.8	-475.20	1154.2	-268.30	-410.03	-403.71	970.02	1160.7	-175.37	-7.804	48.64	-185.35	-12.90	30.56	
2135.8	-0.4977	-526.01	1037.8	-475.25	1154.2	-268.40	-410.11	-403.76	970.03	1160.7	-175.36	-7.812	48.64	-185.30	-12.90	30.58	
2135.9	-0.4961	-526.06	1037.8	-475.29	1154.2	-268.46	-410.11	-403.75	970.00	1160.7	-175.36	-7.865	48.60	-185.31	-12.90	30.58	
2136.0	-0.4961	-526.06	1037.8	-475.33	1154.2	-268.48	-410.09	-403.64	970.00	1160.7	-175.38	-7.865	48.50	-185.34	-12.88	30.58	
2136.1	-0.4948	-526.05	1037.8	-475.39	1154.1	-268.47	-410.11	-403.63	969.97	1160.7	-175.49	-7.844	48.43	-185.39	-12.88	30.57	
2136.2	-0.4966	-526.08	1037.7	-475.45	1154.1	-268.45	-410.15	-403.71	969.91	1160.7	-175.61	-7.861	48.44	-185.45	-12.89	30.59	
2136.3	-0.4958	-526.06	1037.7	-475.39	1154.1	-268.40	-410.17	-403.72	969.88	1160.7	-175.63	-7.899	48.48	-185.45	-12.89	30.59	
2136.4	-0.4964	-525.98	1037.8	-475.28	1154.1	-268.35	-410.12	-403.64	969.85	1160.7	-175.57	-7.990	48.51	-185.39	-12.89	30.58	
2136.5	-0.4979	-525.90	1037.8	-475.25	1154.0	-268.37	-410.12	-403.58	969.90	1160.8	-175.50	-7.980	48.53	-185.30	-12.87	30.59	
2136.6	-0.4958	-525.88	1037.9	-475.26	1154.1	-268.38	-410.19	-403.61	969.93	1160.9	-175.46	-7.897	48.52	-185.28	-12.87	30.58	
2136.7	-0.4951	-525.91	1037.8	-475.27	1154.2	-268.36	-410.21	-403.64	969.90	1160.8	-175.46	-7.842	48.49	-185.30	-12.88	30.58	
2136.8	-0.4953	-525.90	1037.8	-475.29	1154.3	-268.33	-410.15	-403.62	969.91	1160.8	-175.45	-7.861	48.47	-185.35	-12.86	30.58	
2136.9	-0.4969	-525.93	1037.8	-475.25	1154.3	-268.33	-410.09	-403.66	969.96	1160.8	-175.43	-7.931	48.48	-185.34	-12.83	30.58	
2137.0	-0.4974	-525.97	1037.8	-475.25	1154.2	-268.31	-410.09	-403.70	969.99	1160.8	-175.41	-7.982	48.53	-185.31	-12.82	30.58	
2137.1	-0.4969	-525.95	1037.8	-475.29	1154.2	-268.27	-410.10	-403.67	970.02	1160.8	-175.40	-8.043	48.53	-185.32	-12.84	30.59	
2137.2	-0.4969	-525.90	1037.9	-475.33	1154.2	-268.26	-410.16	-403.66	970.05	1160.7	-175.35	-8.092	48.53	-185.28	-12.88	30.59	
2137.3	-0.4974	-525.91	1037.9	-475.29	1154.2	-268.30	-410.17	-403.66	970.04	1160.7	-175.40	-7.974	48.55	-185.26	-12.90	30.57	
2137.4	-0.4964	-525.94	1037.9	-475.28	1154.3	-268.30	-410.17	-403.62	969.93	1160.7	-175.41	-7.848	48.59	-185.26	-12.91	30.56	
2137.5	-0.4937	-525.93	1037.9	-475.32	1154.3	-268.32	-410.20	-403.63	969.86	1160.7	-175.38	-7.824	48.58	-185.25	-12.90	30.56	
2137.6	-0.4956	-525.92	1037.8	-475.33	1154.2	-268.33	-410.17	-403.70	969.87	1160.8	-175.33	-7.822	48.57	-185.22	-12.89	30.56	
2137.7	-0.4969	-525.93	1037.8	-475.31	1154.1	-268.30	-410.08	-403.72	969.96	1160.7	-175.34	-7.824	48.60	-185.20	-12.88	30.58	
2137.8	-0.4974	-525.94	1037.9	-475.28	1154.0	-268.34	-410.03	-403.72	969.98	1160.7	-175.40	-7.836	48.61	-185.22	-12.88	30.61	
2137.9	-0.4992	-525.94	1037.9	-475.28	1154.0	-268.38	-410.05	-403.76	969.97	1160.7	-175.41	-7.812	48.70	-185.09	-12.87	30.62	
2138.0	-0.4997	-525.89	1037.9	-475.33	1154.0	-268.42	-410.12	-403.80	969.95	1160.7	-175.43	-7.773	48.79	-184.94	-12.88	30.62	
2138.1	-0.5000	-525.87	1037.9	-475.32	1154.1	-268.37	-410.14	-403.78	969.95	1160.7	-175.43	-7.822	48.68	-185.07	-12.88	30.61	
2138.2	-0.5021	-525.94	1037.8	-475.32	1154.1	-268.27	-410.08	-403.74	969.96	1160.7	-175.40	-7.857	48.57	-185.23	-12.88	30.59	
2138.3	-0.5013	-525.94	1037.8	-475.30	1154.2	-268.24	-410.03	-403.66	969.99	1160.7	-175.41	-7.875	48.51	-185.30	-12.89	30.56	
2138.4	-0.5029	-525.85	1037.8	-475.28	1154.2	-268.31	-410.02	-403.60	969.98	1160.8	-175.45	-7.875	48.45	-185.39	-12.89	30.54	
2138.5	-0.5023	-525.79	1037.7	-475.31	1154.1	-268.37	-410.08	-403.66	969.94	1160.7	-175.46	-7.852	48.47	-185.46	-12.87	30.56	
2138.6	-0.5008	-525.84	1037.6	-475.39	1154.1	-268.37	-410.14	-403.71	969.93	1160.7	-175.45	-7.836	48.47	-185.51	-12.86	30.57	
2138.7	-0.5005	-525.88	1037.7	-475.39	1154.1	-268.40	-410.17	-403.71	969.94	1160.6	-175.47	-7.853	48.45	-185.52	-12.86	30.58	
2138.8	-0.5018	-525.89	1037.7	-475.36	1154.2	-268.43	-410.10	-403.64	969.96	1160.6	-175.50	-7.883	48.45	-185.49	-12.88	30.58	
2138.9	-0.5026	-525.91	1037.7	-475.37	1154.2	-268.43	-410.08	-403.57	969.95	1160.6	-175.49	-7.931	48.45	-185.46	-12.90	30.57	
2139.0	-0.5026	-525.91	1037.8	-475.33	1154.2	-268.46	-410.09	-403.57	969.91	1160.7	-175.51	-7.958	48.47	-185.44	-12.90	30.55	
2139.1	-0.5010	-525.92	1037.8	-475.32	1154.2	-268.47	-410.09	-403.54	969.89	1160.7	-175.52	-7.948	48.48	-185.43	-12.90	30.55	
2139.2	-0.5005	-525.98	1037.7	-475.36	1154.2	-268.47	-410.13	-403.54	969.89	1160.7	-175.47	-7.976	48.50	-185.42	-12.89	30.56	
2139.3	-0.5000	-525.99	1037.7	-475.41	1154.2	-268.45	-410.18	-403.59	969.89	1160.6	-175.45	-8.017	48.47	-185.41	-12.90	30.59	
2139.4	-0.4990	-525.97	1037.7	-475.39	1154.2	-268.39	-410.09	-403.66	969.93	1160.6	-175.40	-8.023	48.46	-185.40	-12.89	30.61	
2139.5	-0.5013	-525.96	1037.8	-475.36	1154.1	-268.39	-410.06	-403.70	969.97	1160.6	-175.38	-7.988	48.49	-185.36	-12.88	30.61	
2139.6	-0.5013	-525.89	1037.7	-475.37	1154.2	-268.36	-410.08	-403.67	970.01	1160.7	-175.38	-7.944	48.50	-185.31	-12.88	30.62	
2139.7	-0.5003	-525.83	1037.7	-475.37	1154.3	-268.29	-410.10	-403.60	970.06	1160.8	-175.37	-7.950	48.48	-185.27	-12.89	30.62	
2139.8	-0.5005	-525.89	1037.7	-475.31	1154.3	-268.26	-410.11	-403.60	970.08	1160.8	-175.31	-7.976	48.51	-185.25	-12.90	30.60	
2139.9	-0.5016	-525.92	1037.7	-475.29	1154.3	-268.25	-410.10	-403.61	970.04	1160.8	-175.30	-7.938	48.53	-185.27	-12.90	30.59	
2140.0	-0.5013	-525.89	1037.7	-475.26	1154.2	-268.27	-410.08	-403.59	970.03	1160.8	-175.31	-7.879	48.57	-185.25	-12.89	30.58	
2140.1	-0.4990	-525.84	1037.7	-475.23	1154.2	-268.27	-410.05	-403.65	970.07	1160.8	-175.34	-7.885	48.58	-185.22	-12.89	30.58	
2140.2	-0.4987	-525.80	1037.8	-475.19	1154.2	-268.24	-410.00	-403.69	970.05	1160.8	-175.39	-7.956	48.54	-185.25	-12.90	30.56	
2140.3	-0.5008	-525.80	1037.8	-475.21	1154.2	-268.30	-409.93	-403.64	970.05	1160.8	-175.45	-8.002	48.50	-185.26	-12.89	30.56	
2140.4	-0.5013	-525.84	1037.8	-475.24	1154.2	-268.35	-409.89	-403.58	970.05	1160.8	-175.52	-8.037	48.49	-185.33	-12.89	30.60	
2140.5	-0.5016	-525.86	1037.8	-475.22	1154.1	-268.34	-409.97	-403.62	970.09	1160.8	-175.57	-8.039	48.48	-185.41	-12.92	30.63	
2140.6	-0.5010	-525.86	1037.8	-475.27	1154.1	-268.34	-410.05	-403.62	970.10	1160.7	-175.54	-8.025	48.45	-185.43	-12.92	30.61	
2140.7	-0.5010	-525.87	1037.8	-475.33	1154.1	-268.34	-410.04	-403.59	970.07	1160.7	-175.50	-7.998	48.45	-185.39	-12.90	30.59	
2140.8	-0.5010	-525.88	1037.8	-475.39	1154.2	-268.34	-410.01	-403.58	970.05	1160.7	-175.46	-7.925	48.48	-185.32	-12.86	30.57	
2140.9	-0.5010	-525.88	1037.8	-475.38	1154.2	-268.34	-410.03	-403.62	970.04	1160.7	-175.48	-7.952	48.46	-185.33	-12.86	30.58	
2141.0	-0.5016	-525.91	1037.8	-475.34	1154.2	-268.32	-410.04	-403.68	970.03	1160.7	-175.55	-8.004	48.39	-185.39	-12.86	30.58	
2141.1	-0.5021	-525.95	1037.8	-475.34	1154.3	-268.26	-410.05	-403.70	970.03	1160.7	-175.55	-8.000	48.33	-185.38	-12.87	30.57	
2141.2	-0.5018	-525.99	1037.7	-475.34	1154.3	-268.21	-410.08	-403.68	970.05	1160.7	-175.48	-7.968	48.34	-185.33	-12.89	30.56	
2141.3	-0.4997	-525.97	1037.7	-475.34	1154.1	-268.24	-410.04	-403.64	970.05	1160.7	-175.44	-7.976	48.36	-185.34	-12.89	30.56	
2141.4	-0.4992	-525.97	1037.7	-475.38	1154.0	-268.27	-409.97	-403.63	970.04	1160.7	-175.41	-8.013	48.38	-185.43	-12.86	30.57	
2141.5	-0.4997	-525.95	1037.8	-475.40	1154.0	-268.30	-409.97	-403.69	970.00	1160.8	-175.41	-8.009	48.39	-185.49	-12.86	30.58	
2141.6	-0.4956	-525.96	1037.8	-475.42	1154.1	-268.29	-410.00	-403.76	969.95	1160.8	-175.44	-7.923	48.39	-185.51	-12.87	30.61	
2141.7	-0.4924	-525.95	1037.8	-475.39	1154.2	-268.26	-410.04	-403.71	970.00	1160.8	-175.43	-7.907	48.40	-185.49	-12.89	30.62	
2141.8	-0.4966	-525.95	1037.8	-475.39	1154.2	-268.24	-410.09	-403.64	970.05	1160.7	-175.41	-8.013	48.40	-185.51	-12.89	30.59	
2141.9	-0.4956	-525.94	1037.8	-475.43	1154.2	-268.24	-410.11	-403.64	970.05	1160.7	-175.42	-8.021	48.41	-185.51	-12.89	30.59	
2142.0	-0.4961	-525.93	1037.7	-475.44	1154.1	-268.26	-410.15	-403.63	970.03	1160.7	-175.47	-7.960	48.43	-185.47	-12.90	30.63	
2142.1	-0.4974	-525.92	1037.7	-475.40	1154.1	-268.26	-410.17	-403.62	970.03	1160.7	-175.48	-7.901	48.44	-185.39	-12.91	30.65	
2142.2	-0.5000	-525.92	1037.8	-475.38	1154.1	-268.28	-410.15	-403.64	970.03	1160.7	-175.48	-7.923	48.41	-185.39	-12.92	30.63	
2142.3	-0.5008	-525.92	1037.8	-475.39	1154.1	-268.28	-410.13	-403.67	970.02	1160.7	-175.46	-7.940	48.39	-185.46	-12.91	30.60	
2142.4	-0.5003	-525.94	1037.8	-475.42	1154.1	-268.25	-410.06	-403.69	970.03	1160.8	-175.43	-7.978	48.42	-185.50	-12.87	30.59	
2142.5	-0.4995	-525.97	1037.7	-475.46	1154.2	-268.22	-410.08	-403.66	970.00	1160.8	-175.46	-7.974	48.41	-185.48	-12.86	30.58	
2142.6	-0.4982	-526.03	1037.7	-475.47	1154.2	-268.24	-410.08	-403.62	969.99	1160.8	-175.53	-7.990	48.37	-185.47	-12.87	30.57	
2142.7	-0.4966	-526.03	1037.7	-475.45	1154.2	-268.26	-410.01	-403.60	970.01	1160.7	-175.58	-8.049	48.39	-185.49	-12.87	30.56	
2142.8	-0.4961	-525.96	1037.8	-475.38	1154.2	-268.29	-409.93	-403.58	970.05	1160.7	-175.61	-8.094	48.44	-185.53	-12.87	30.56	
2142.9	-0.4951	-525.93	1037.8	-475.29	1154.1	-268.31	-409.90	-403.56	970.08	1160.8	-175.56	-8.114	48.44	-185.51	-12.87	30.58	
2143.0	-0.4971	-525.93	1037.8	-475.22	1154.2	-268.23	-409.92	-403.56	970.07	1160.8	-175.51	-8.134	48.41	-185.46	-12.87	30.61	
2143.1	-0.5003	-525.92	1037.7	-475.22	1154.2	-268.21	-409.96	-403.63	970.04	1160.8	-175.52	-8.116	48.39	-185.44	-12.88	30.61	
2143.2	-0.4987	-525.92	1037.8	-475.22	1154.3	-268.22	-410.04	-403.70	970.01	1160.7	-175.56	-8.069	48.35	-185.44	-12.89	30.60	
2143.3	-0.4971	-525.97	1037.9	-475.21	1154.3	-268.26	-410.05	-403.65	970.01	1160.7	-175.53	-8.017	48.38	-185.44	-12.89	30.59	
2143.4	-0.4969	-526.00	1037.8	-475.22	1154.2	-268.31	-410.04	-403.60	969.96	1160.7	-175.56	-7.974	48.46	-185.39	-12.88	30.59	
2143.5	-0.4990	-525.99	1037.8	-475.24	1154.1	-268.32	-410.07	-403.62	969.95	1160.7	-175.57	-7.905	48.50	-185.33	-12.88	30.58	
2143.6	-0.4982	-525.98	1037.7	-475.30	1154.1	-268.28	-410.09	-403.64	970.04	1160.7	-175.54	-7.863	48.49	-185.28	-12.88	30.59	
2143.7	-0.4974	-525.91	1037.7	-475.37	1154.2	-268.24	-410.03	-403.63	970.05	1160.7	-175.54	-7.853	48.47	-185.28	-12.87	30.58	
2143.8	-0.4974	-525.85	1037.8	-475.34	1154.2	-268.19	-409.98	-403.64	970.06	1160.7	-175.57	-7.879	48.52	-185.31	-12.86	30.57	
2143.9	-0.4977	-525.89	1037.7	-475.32	1154.2	-268.18	-410.02	-403.62	970.03	1160.7	-175.56	-7.950	48.57	-185.34	-12.86	30.57	
2144.0	-0.4979	-525.97	1037.7	-475.34	1154.1	-268.21	-410.11	-403.64	969.98	1160.7	-175.52	-7.982	48.54	-185.32	-12.88	30.55	
2144.1	-0.4977	-526.02	1037.7	-475.34	1154.1	-268.20	-410.10	-403.67	969.98	1160.8	-175.52	-7.944	48.45	-185.32	-12.90	30.55	
2144.2	-0.4971	-526.01	1037.8	-475.35	1154.1	-268.19	-410.07	-403.64	970.03	1160.8	-175.56	-7.988	48.39	-185.38	-12.89	30.56	
2144.3	-0.4956	-525.97	1037.8	-475.40	1154.1	-268.21	-410.03	-403.59	970.06	1160.8	-175.57	-8.008	48.39	-185.39	-12.86	30.57	
2144.4	-0.4982	-526.00	1037.8	-475.46	1154.1	-268.29	-410.00	-403.54	970.04	1160.8	-175.55	-7.988	48.42	-185.36	-12.85	30.57	
2144.5	-0.4992	-526.00	1037.7	-475.54	1154.0	-268.31	-410.05	-403.51	969.97	1160.7	-175.57	-8.039	48.41	-185.41	-12.85	30.59	
2144.6	-0.5005	-525.92	1037.7	-475.48	1154.0	-268.27	-410.09	-403.54	969.95	1160.7	-175.54	-8.065	48.40	-185.47	-12.85	30.62	
2144.7	-0.4974	-525.91	1037.8	-475.34	1154.0	-268.23	-410.14	-403.59	969.97	1160.7	-175.56	-8.098	48.43	-185.47	-12.86	30.63	
2144.8	-0.4966	-525.99	1037.7	-475.26	1154.0	-268.28	-410.15	-403.63	969.95	1160.8	-175.64	-8.140	48.43	-185.42	-12.87	30.61	
2144.9	-0.4961	-526.02	1037.7	-475.30	1154.0	-268.33	-410.06	-403.60	969.92	1160.7	-175.63	-8.090	48.40	-185.39	-12.88	30.57	
2145.0	-0.4951	-526.00	1037.7	-475.29	1154.0	-268.28	-410.03	-403.56	969.96	1160.6	-175.58	-8.025	48.41	-185.43	-12.89	30.57	
2145.1	-0.4953	-526.00	1037.7	-475.24	1154.0	-268.28	-410.07	-403.56	970.00	1160.6	-175.53	-8.002	48.44	-185.42	-12.90	30.58	
2145.2	-0.4956	-525.98	1037.8	-475.27	1154.0	-268.30	-410.15	-403.64	970.04	1160.7	-175.47	-7.986	48.43	-185.38	-12.91	30.59	
2145.3	-0.4956	-526.03	1037.7	-475.40	1154.0	-268.34	-410.13	-403.67	970.00	1160.7	-175.48	-8.008	48.36	-185.41	-12.91	30.58	
2145.4	-0.4979	-526.12	1037.7	-475.43	1154.0	-268.35	-410.05	-403.65	969.94	1160.7	-175.50	-8.017	48.33	-185.40	-12.90	30.58	
2145.5	-0.4990	-526.12	1037.7	-475.40	1154.0	-268.35	-410.02	-403.65	969.92	1160.7	-175.53	-8.047	48.33	-185.41	-12.89	30.59	
2145.6	-0.4969	-526.05	1037.7	-475.39	1153.9	-268.38	-410.04	-403.64	969.90	1160.5	-175.55	-8.053	48.37	-185.39	-12.86	30.59	
2145.7	-0.4977	-526.02	1037.6	-475.40	1153.9	-268.36	-410.09	-403.59	969.90	1160.5	-175.48	-8.031	48.44	-185.36	-12.84	30.59	
2145.8	-0.5000	-526.00	1037.6	-475.40	1154.0	-268.24	-410.10	-403.63	969.96	1160.6	-175.41	-8.017	48.46	-185.40	-12.84	30.58	
2145.9	-0.4990	-526.00	1037.7	-475.41	1154.1	-268.19	-410.10	-403.71	969.97	1160.7	-175.38	-7.992	48.44	-185.41	-12.84	30.59	
2146.0	-0.4984	-526.00	1037.7	-475.41	1154.1	-268.24	-410.09	-403.72	970.00	1160.7	-175.36	-7.986	48.43	-185.41	-12.85	30.59	
2146.1	-0.4969	-526.03	1037.8	-475.43	1154.1	-268.33	-410.07	-403.72	969.97	1160.6	-175.44	-8.023	48.42	-185.42	-12.88	30.60	
2146.2	-0.4966	-526.02	1037.8	-475.36	1154.1	-268.33	-410.07	-403.72	969.92	1160.6	-175.47	-8.025	48.46	-185.37	-12.90	30.59	
2146.3	-0.4974	-526.01	1037.7	-475.30	1154.1	-268.33	-410.05	-403.71	969.90	1160.6	-175.46	-8.008	48.47	-185.32	-12.91	30.57	
2146.4	-0.4966	-526.01	1037.7	-475.30	1154.2	-268.32	-410.02	-403.73	969.90	1160.6	-175.51	-7.998	48.43	-185.33	-12.91	30.58	
2146.5	-0.4964	-525.94	1037.7	-475.33	1154.2	-268.24	-409.95	-403.76	969.96	1160.6	-175.51	-7.978	48.43	-185.38	-12.90	30.59	
2146.6	-0.4979	-525.89	1037.7	-475.33	1154.2	-268.21	-409.95	-403.75	969.99	1160.6	-175.51	-7.988	48.44	-185.40	-12.89	30.58	
2146.7	-0.4995	-525.91	1037.7	-475.33	1154.2	-268.26	-409.98	-403.73	970.00	1160.6	-175.50	-8.004	48.42	-185.38	-12.90	30.55	
